"Source word","First candidate","ACC","ACC-10","F-score","Best matching reference","MRR","MAP_ref","References"
__NE__ B E B A S T H A,ब ् य ब स ् थ ा,0.000000,0.000000,0.866667,व ् य व स ् थ ा,0.000000,0.000000,"व ् य व स ् थ ा"
__NE__ S A M B A N D H,स म ् ब न ् ध,1.000000,1.000000,1.000000,स म ् ब न ् ध,1.000000,1.000000,"स म ् ब न ् ध"
__NE__ G H A R B A T I,घ र ब ा ट ी,1.000000,1.000000,1.000000,घ र ब ा ट ी,1.000000,1.000000,"घ र ब ा ट ी"
__NE__ G A R A U N E,ग र ा उ न े,1.000000,1.000000,1.000000,ग र ा उ न े,1.000000,1.000000,"ग र ा उ न े"
__NE__ S A M B H A W A N A,स म ् भ ा व न ा,1.000000,1.000000,1.000000,स म ् भ ा व न ा,1.000000,1.000000,"स म ् भ ा व न ा"
__NE__ G A R X A A N,ग र ् छ न ्,1.000000,1.000000,1.000000,ग र ् छ न ्,1.000000,1.000000,"ग र ् छ न ्"
__NE__ P R A B H A B,प ् र भ ा व,0.000000,1.000000,0.909091,प ् र भ ा ब,0.500000,0.000000,"प ् र भ ा ब"
__NE__ N E P A L M A A,न े प ा ल म ा,1.000000,1.000000,1.000000,न े प ा ल म ा,1.000000,1.000000,"न े प ा ल म ा"
__NE__ P A R Y A P T A,प र ् य ा प ् त,1.000000,1.000000,1.000000,प र ् य ा प ् त,1.000000,1.000000,"प र ् य ा प ् त"
__NE__ V A A G,भ ा ग,1.000000,1.000000,1.000000,भ ा ग,1.000000,1.000000,"भ ा ग"
__NE__ B H A N N E,भ न ् न े,1.000000,1.000000,1.000000,भ न ् न े,1.000000,1.000000,"भ न ् न े"
__NE__ B A D H E M A,ब ढ े म ा,1.000000,1.000000,1.000000,ब ढ े म ा,1.000000,1.000000,"ब ढ े म ा"
__NE__ C H A H N A,च ा ह न ा,1.000000,1.000000,1.000000,च ा ह न ा,1.000000,1.000000,"च ा ह न ा"
__NE__ D E K H I N X A,द े ख ि न ् छ,1.000000,1.000000,1.000000,द े ख ि न ् छ,1.000000,1.000000,"द े ख ि न ् छ"
__NE__ N A P U G I,न प ु ग ी,1.000000,1.000000,1.000000,न प ु ग ी,1.000000,1.000000,"न प ु ग ी"
__NE__ G A R N E T,ग र ् न े ट,0.000000,1.000000,0.916667,ग ा र ् न े ट,0.333333,0.000000,"ग ा र ् न े ट"
__NE__ M E W A,म े व ा,1.000000,1.000000,1.000000,म े व ा,1.000000,1.000000,"म े व ा"
__NE__ G A R B H W A T I,ग र ् भ व त ी,1.000000,1.000000,1.000000,ग र ् भ व त ी,1.000000,1.000000,"ग र ् भ व त ी"
__NE__ M E N O P A U S E,म े न ो प ा उ ज,1.000000,1.000000,1.000000,म े न ो प ा उ ज,1.000000,1.000000,"म े न ो प ा उ ज"
__NE__ B A R S H,ब र ् ष,0.000000,1.000000,0.857143,व र ् ष,0.500000,0.000000,"व र ् ष"
__NE__ M A N A S I K A,म ा न स ि क,1.000000,1.000000,1.000000,म ा न स ि क,1.000000,1.000000,"म ा न स ि क"
__NE__ B I B H A,ब ि भ ा,0.000000,0.000000,0.625000,व ि व ा ह,0.000000,0.000000,"व ि व ा ह"
__NE__ P A Y E M A,प ा ए म ा,1.000000,1.000000,1.000000,प ा ए म ा,1.000000,1.000000,"प ा ए म ा"
__NE__ P A U N R,प ा उ ँ र,0.000000,0.000000,0.750000,प ा उ न,0.000000,0.000000,"प ा उ न"
__NE__ A A P A N G A,अ प ं ग,0.000000,0.000000,0.666667,अ प ा ङ ् ग,0.000000,0.000000,"अ प ा ङ ् ग"
__NE__ P U R U S H,प ु र ु ष,1.000000,1.000000,1.000000,प ु र ु ष,1.000000,1.000000,"प ु र ु ष"
__NE__ E K S H Y A,ए क श ् य ा,0.000000,0.000000,0.600000,इ च ् छ ा,0.000000,0.000000,"इ च ् छ ा"
__NE__ B A L I K A,ब ा ल ि क ा,1.000000,1.000000,1.000000,ब ा ल ि क ा,1.000000,1.000000,"ब ा ल ि क ा"
__NE__ J A N C H A,ज ा ँ च ा,0.000000,1.000000,0.875000,ज ा ँ च,0.333333,0.000000,"ज ा ँ च"
__NE__ S H Y A A R,श ् य ा र,0.000000,0.000000,0.727273,स ् य ा ह ा र,0.000000,0.000000,"स ् य ा ह ा र"
__NE__ B A C H H,ब ा छ,0.000000,0.000000,0.428571,ब च ् च ा,0.000000,0.000000,"ब च ् च ा"
__NE__ G A R I N,ग र ि न ्,1.000000,1.000000,1.000000,ग र ि न ्,1.000000,1.000000,"ग र ि न ्"
__NE__ S A M D B A N D H A,स म ् द ब न ् ध,0.000000,0.000000,0.928571,स म ् ब न ् ध,0.000000,0.000000,"स म ् ब न ् ध"
__NE__ H A N D A I N A,ह ँ द ै न,1.000000,1.000000,1.000000,ह ँ द ै न,1.000000,1.000000,"ह ँ द ै न"
__NE__ C H A H A N X,च ा ह न ् छ,1.000000,1.000000,1.000000,च ा ह न ् छ,1.000000,1.000000,"च ा ह न ् छ"
__NE__ L A G D A I N A,ल ा ग ् द ै न,1.000000,1.000000,1.000000,ल ा ग ् द ै न,1.000000,1.000000,"ल ा ग ् द ै न"
__NE__ D U K H D A,द ु ख ् द ा,1.000000,1.000000,1.000000,द ु ख ् द ा,1.000000,1.000000,"द ु ख ् द ा"
__NE__ M N A X E,म ् न ा छ े,0.000000,1.000000,0.818182,म ा न ् छ े,0.500000,0.000000,"म ा न ् छ े"
__NE__ Y O U N A,य ौ न,1.000000,1.000000,1.000000,य ौ न,1.000000,1.000000,"य ौ न"
__NE__ U T P A N N A,उ त ् प न ् न,1.000000,1.000000,1.000000,उ त ् प न ् न,1.000000,1.000000,"उ त ् प न ् न"
__NE__ B A G N U,ब ग ् न ु,1.000000,1.000000,1.000000,ब ग ् न ु,1.000000,1.000000,"ब ग ् न ु"
__NE__ S A W A D H A N,स ा व ध ा न,1.000000,1.000000,1.000000,स ा व ध ा न,1.000000,1.000000,"स ा व ध ा न"
__NE__ H A A T,ह ा त,1.000000,1.000000,1.000000,ह ा त,1.000000,1.000000,"ह ा त"
__NE__ R O J C H A,र ो ज ् छ,1.000000,1.000000,1.000000,र ो ज ् छ,1.000000,1.000000,"र ो ज ् छ"
__NE__ W A R I M A,व ा र ी म ा,1.000000,1.000000,1.000000,व ा र ी म ा,1.000000,1.000000,"व ा र ी म ा"
__NE__ A A B S T H A,अ ब स ् थ ा,0.000000,1.000000,0.909091,अ व स ् थ ा,0.500000,0.000000,"अ व स ् थ ा"
__NE__ V A I E K O,भ इ ए क ो,0.000000,1.000000,0.875000,भ ए क ो,0.500000,0.000000,"भ ए क ो"
__NE__ N A V A Y A,न भ ए,1.000000,1.000000,1.000000,न भ ए,1.000000,1.000000,"न भ ए"
__NE__ S W A S T H,स ् व स ् थ,1.000000,1.000000,1.000000,स ् व स ् थ,1.000000,1.000000,"स ् व स ् थ"
__NE__ M I L D A E N A,म ि ल ् द ै न,1.000000,1.000000,1.000000,म ि ल ् द ै न,1.000000,1.000000,"म ि ल ् द ै न"
__NE__ K H A N E Y,ख ा न े,1.000000,1.000000,1.000000,ख ा न े,1.000000,1.000000,"ख ा न े"
__NE__ U T T E J I T,उ त ् त े ज ि त,1.000000,1.000000,1.000000,उ त ् त े ज ि त,1.000000,1.000000,"उ त ् त े ज ि त"
__NE__ V A Y A M A,भ ए म ा,1.000000,1.000000,1.000000,भ ए म ा,1.000000,1.000000,"भ ए म ा"
__NE__ N A H O S,न ह ो स ्,1.000000,1.000000,1.000000,न ह ो स ्,1.000000,1.000000,"न ह ो स ्"
__NE__ M A N A W A R I,म न व ा र ी,1.000000,1.000000,1.000000,म न व ा र ी,1.000000,1.000000,"म न व ा र ी"
__NE__ S A K D A I N I N,स क ् द ै न ि न ्,1.000000,1.000000,1.000000,स क ् द ै न ि न ्,1.000000,1.000000,"स क ् द ै न ि न ्"
__NE__ X E U,छ े उ,1.000000,1.000000,1.000000,छ े उ,1.000000,1.000000,"छ े उ"
__NE__ V H A N A K O,भ न ् न क ो,0.000000,1.000000,0.800000,भ न ा क ो,0.333333,0.000000,"भ न ा क ो"
__NE__ V I T T R A,भ ि त ् र,1.000000,1.000000,1.000000,भ ि त ् र,1.000000,1.000000,"भ ि त ् र"
__NE__ T E S M A D H Y E,त ् य स म ध ् य े,1.000000,1.000000,1.000000,त ् य स म ध ् य े,1.000000,1.000000,"त ् य स म ध ् य े"
__NE__ K T A,क े ट ी ए,0.000000,0.000000,0.750000,क े ट ा,0.000000,0.000000,"क े ट ा"
__NE__ B A H I R I,ब ा ह ि र ी,0.000000,1.000000,0.900000,ब ह ि र ी,0.250000,0.000000,"ब ह ि र ी"
__NE__ R A K H A,र ा ख ा,0.000000,1.000000,0.833333,र ा ख,0.500000,0.000000,"र ा ख"
__NE__ M A N I S,म ा न ि स,1.000000,1.000000,1.000000,म ा न ि स,1.000000,1.000000,"म ा न ि स"
__NE__ N I S A N T A N,न ि स न ् त ा न,1.000000,1.000000,1.000000,न ि स न ् त ा न,1.000000,1.000000,"न ि स न ् त ा न"
__NE__ B H U M I K A,भ ू म ि क ा,1.000000,1.000000,1.000000,भ ू म ि क ा,1.000000,1.000000,"भ ू म ि क ा"
__NE__ S E T O,स े त ो,1.000000,1.000000,1.000000,स े त ो,1.000000,1.000000,"स े त ो"
__NE__ B I W A H I T,व ि व ा ह ि त,1.000000,1.000000,1.000000,व ि व ा ह ि त,1.000000,1.000000,"व ि व ा ह ि त"
__NE__ L I D H A,ल ि ढ ा,0.000000,0.000000,0.857143,ल ि द ा,0.000000,0.000000,"ल ि द ा"
__NE__ G A R D E I N A,ग र ् द ै न,1.000000,1.000000,1.000000,ग र ् द ै न,1.000000,1.000000,"ग र ् द ै न"
__NE__ R O K N E Y,र ो क ् न े,1.000000,1.000000,1.000000,र ो क ् न े,1.000000,1.000000,"र ो क ् न े"
__NE__ A B I B A H I T,अ व ि ब ा ह ि त,0.000000,1.000000,0.933333,अ ब ि ब ा ह ि त,0.500000,0.000000,"अ ब ि ब ा ह ि त"
__NE__ Y E U T A,ए उ ट ा,1.000000,1.000000,1.000000,ए उ ट ा,1.000000,1.000000,"ए उ ट ा"
__NE__ A W A S T H A,अ व स ् थ ा,1.000000,1.000000,1.000000,अ व स ् थ ा,1.000000,1.000000,"अ व स ् थ ा"
__NE__ G A N A U N E,ग न ा उ न े,1.000000,1.000000,1.000000,ग न ा उ न े,1.000000,1.000000,"ग न ा उ न े"
__NE__ B I T I K A I,ब ि त ि क ै,1.000000,1.000000,1.000000,ब ि त ि क ै,1.000000,1.000000,"ब ि त ि क ै"
__NE__ S U D H A R K A,स ु ध ा र क ा,1.000000,1.000000,1.000000,स ु ध ा र क ा,1.000000,1.000000,"स ु ध ा र क ा"
__NE__ B A G E R A,ब ग े र,1.000000,1.000000,1.000000,ब ग े र,1.000000,1.000000,"ब ग े र"
__NE__ W T L O S S,ड ब ् ल ् य ु ट ल स,0.000000,0.000000,0.900000,ड ब ् ल ् य ू ट ल ो स,0.000000,0.000000,"ड ब ् ल ् य ू ट ल ो स"
__NE__ W A R I,व ा र ी,1.000000,1.000000,1.000000,व ा र ी,1.000000,1.000000,"व ा र ी"
__NE__ D E K H N A Y,द े ख ् न ै,0.000000,1.000000,0.909091,द े ख ् न े,0.500000,0.000000,"द े ख ् न े"
__NE__ K H U W A U N A,ख ु व ा उ न,1.000000,1.000000,1.000000,ख ु व ा उ न,1.000000,1.000000,"ख ु व ा उ न"
__NE__ B H A B I S Y A M A,भ व ि ष ् य म ा,1.000000,1.000000,1.000000,भ व ि ष ् य म ा,1.000000,1.000000,"भ व ि ष ् य म ा"
__NE__ P A R N,प र ् न,1.000000,1.000000,1.000000,प र ् न,1.000000,1.000000,"प र ् न"
__NE__ C Y C E L,स ा इ स े ल,1.000000,1.000000,1.000000,स ा इ स े ल,1.000000,1.000000,"स ा इ स े ल"
__NE__ B A C H A N E,ब च ा न े,0.000000,1.000000,0.875000,ब च न े,0.333333,0.000000,"ब च न े"
__NE__ S A K H X A,स ख ् छ,0.000000,1.000000,0.857143,स क ् छ,0.333333,0.000000,"स क ् छ"
__NE__ P U R Y A U N X A,प ु र ् य ा उ ँ छ,1.000000,1.000000,1.000000,प ु र ् य ा उ ँ छ,1.000000,1.000000,"प ु र ् य ा उ ँ छ"
__NE__ M A M,म ा म,1.000000,1.000000,1.000000,म ा म,1.000000,1.000000,"म ा म"
__NE__ G A R D A A,ग र ् द ा,1.000000,1.000000,1.000000,ग र ् द ा,1.000000,1.000000,"ग र ् द ा"
__NE__ K O N S A M B H A B N,क ो ण स म ् भ ा व न,0.000000,0.000000,0.947368,क ो ण स म ् भ ा ब न,0.000000,0.000000,"क ो ण स म ् भ ा ब न"
__NE__ T I T O,त ि त ो,1.000000,1.000000,1.000000,त ि त ो,1.000000,1.000000,"त ि त ो"
__NE__ A D H I K A R,अ ध ि क ा र,1.000000,1.000000,1.000000,अ ध ि क ा र,1.000000,1.000000,"अ ध ि क ा र"
__NE__ F A R A K H,फ र ख,0.000000,1.000000,0.800000,फ र क,0.250000,0.000000,"फ र क"
__NE__ D A I N I K,द ै न ि क,1.000000,1.000000,1.000000,द ै न ि क,1.000000,1.000000,"द ै न ि क"
__NE__ D E K H Y A,द े ख ् य ा,1.000000,1.000000,1.000000,द े ख ् य ा,1.000000,1.000000,"द े ख ् य ा"
__NE__ K A P,क प,1.000000,1.000000,1.000000,क प,1.000000,1.000000,"क प"
__NE__ S A M P A R K K A,स म ् प र ् क,0.000000,0.000000,0.866667,स म ् प र ् क क ा,0.000000,0.000000,"स म ् प र ् क क ा"
__NE__ A G A D H I,अ ग ा ढ ी,0.000000,1.000000,0.888889,अ ग ा ड ी,0.333333,0.000000,"अ ग ा ड ी"
__NE__ S A A M,स ा म,1.000000,1.000000,1.000000,स ा म,1.000000,1.000000,"स ा म"
__NE__ K E N D R A,क े न ् द ् र,1.000000,1.000000,1.000000,क े न ् द ् र,1.000000,1.000000,"क े न ् द ् र"
__NE__ D O O D H,द ु ध,0.000000,1.000000,0.800000,द ू ध,0.500000,0.000000,"द ू ध"
__NE__ P A H E L O,प ह ि ल ो,1.000000,1.000000,1.000000,प ह ि ल ो,1.000000,1.000000,"प ह ि ल ो"
__NE__ A A K I N X A,अ क ि न ् छ,0.000000,1.000000,0.909091,आ क ि न ् छ,0.500000,0.000000,"आ क ि न ् छ"
__NE__ C H A I I,च ा ई,1.000000,1.000000,1.000000,च ा ई,1.000000,1.000000,"च ा ई"
__NE__ M A H I N A K O,म ह ि न ा क ो,1.000000,1.000000,1.000000,म ह ि न ा क ो,1.000000,1.000000,"म ह ि न ा क ो"
__NE__ J H A R X,झ र ् छ,1.000000,1.000000,1.000000,झ र ् छ,1.000000,1.000000,"झ र ् छ"
__NE__ K A N D O M,क ण ् ड ो म,1.000000,1.000000,1.000000,क ण ् ड ो म,1.000000,1.000000,"क ण ् ड ो म"
__NE__ S U K H A,स ु ख,1.000000,1.000000,1.000000,स ु ख,1.000000,1.000000,"स ु ख"
__NE__ T E S L E,त ् य स ल े,1.000000,1.000000,1.000000,त ् य स ल े,1.000000,1.000000,"त ् य स ल े"
__NE__ N A P A U G I,न प ा उ ग ी,0.000000,0.000000,0.800000,न प ु ग ी,0.000000,0.000000,"न प ु ग ी"
__NE__ M A D H Y A,म ध ् य,1.000000,1.000000,1.000000,म ध ् य,1.000000,1.000000,"म ध ् य"
__NE__ B A C C H A A,ब च ् छ,0.000000,0.000000,0.750000,ब च ् च ा,0.000000,0.000000,"ब च ् च ा"
__NE__ A U N U,आ उ न ु,1.000000,1.000000,1.000000,आ उ न ु,1.000000,1.000000,"आ उ न ु"
__NE__ L A G I R A C H A,ल ा ग ि र छ,0.000000,1.000000,0.916667,ल ा ग ि र ा छ,0.500000,0.000000,"ल ा ग ि र ा छ"
__NE__ N A P U G A D A I,न प ु ग ा ड ै,0.000000,0.000000,0.846154,न प ु ग ् द ै,0.000000,0.000000,"न प ु ग ् द ै"
__NE__ S U R C H X A,स र ् छ,0.000000,0.000000,0.600000,स ु र क ् ष ा,0.000000,0.000000,"स ु र क ् ष ा"
__NE__ G A Y A R A,ग य र,0.000000,0.000000,0.800000,ग ए र,0.000000,0.000000,"ग ए र"
__NE__ B A B A,ब ा ब ा,1.000000,1.000000,1.000000,ब ा ब ा,1.000000,1.000000,"ब ा ब ा"
__NE__ S H R E M A T I,श ् र े म त ी,0.000000,1.000000,0.923077,श ् र ी म त ी,0.500000,0.000000,"श ् र ी म त ी"
__NE__ B A S C H A,ब स ् छ,1.000000,1.000000,1.000000,ब स ् छ,1.000000,1.000000,"ब स ् छ"
__NE__ A A K P A T K,अ क प ट क,0.000000,0.000000,0.888889,ए क प ट क,0.000000,0.000000,"ए क प ट क"
__NE__ K H A R A B,ख र ा ब,1.000000,1.000000,1.000000,ख र ा ब,1.000000,1.000000,"ख र ा ब"
__NE__ T Y A S K O,त ् य स क ो,1.000000,1.000000,1.000000,त ् य स क ो,1.000000,1.000000,"त ् य स क ो"
__NE__ M A N L A G N U,म न ल ा ग ् न ु,1.000000,1.000000,1.000000,म न ल ा ग ् न ु,1.000000,1.000000,"म न ल ा ग ् न ु"
__NE__ U P A Y O U T,उ प य ौ त,0.000000,0.000000,0.727273,उ प य ु क ् त,0.000000,0.000000,"उ प य ु क ् त"
__NE__ S U N I N U,स ु न ि न ु,1.000000,1.000000,1.000000,स ु न ि न ु,1.000000,1.000000,"स ु न ि न ु"
__NE__ M A H I N A W A R I,म ह ि न ा व ा र ी,1.000000,1.000000,1.000000,म ह ि न ा व ा र ी,1.000000,1.000000,"म ह ि न ा व ा र ी"
__NE__ A W A S T H,अ व स ् थ ा,0.000000,1.000000,0.900000,अ व स ् थ,0.500000,0.000000,"अ व स ् थ"
__NE__ C H O D N A,छ ो ड ् न,1.000000,1.000000,1.000000,छ ो ड ् न,1.000000,1.000000,"छ ो ड ् न"
__NE__ D E K H I N,द े ख ि न ्,0.000000,1.000000,0.900000,द े ख ि न,0.500000,0.000000,"द े ख ि न"
__NE__ D H H I R I,ढ ि र ी,0.000000,0.000000,0.571429,ध े र ै,0.000000,0.000000,"ध े र ै"
__NE__ M A H I N A B A R I,म ह ि न ा ब ा र ी,0.000000,1.000000,0.941176,म ह ि न ा व ा र ी,0.500000,0.000000,"म ह ि न ा व ा र ी"
__NE__ C H O,छ ो,0.000000,1.000000,0.666667,च ो,0.500000,0.000000,"च ो"
__NE__ U M E R K A,उ म े र क ा,1.000000,1.000000,1.000000,उ म े र क ा,1.000000,1.000000,"उ म े र क ा"
__NE__ K H A Y E P A C H I,ख ा ए प छ ि,1.000000,1.000000,1.000000,ख ा ए प छ ि,1.000000,1.000000,"ख ा ए प छ ि"
__NE__ P A R A U X,प र ा उ छ,1.000000,1.000000,1.000000,प र ा उ छ,1.000000,1.000000,"प र ा उ छ"
__NE__ M A N C H E,म ा न ् छ े,1.000000,1.000000,1.000000,म ा न ् छ े,1.000000,1.000000,"म ा न ् छ े"
__NE__ X O R A,छ ो र,0.000000,1.000000,0.833333,छ ो र ा,0.500000,0.000000,"छ ो र ा"
__NE__ S A D H A A N,स ा ध न,1.000000,1.000000,1.000000,स ा ध न,1.000000,1.000000,"स ा ध न"
__NE__ C H A M K I,च म ् क ी,1.000000,1.000000,1.000000,च म ् क ी,1.000000,1.000000,"च म ् क ी"
__NE__ B U D A,ब ु ढ ा,1.000000,1.000000,1.000000,ब ु ढ ा,1.000000,1.000000,"ब ु ढ ा"
__NE__ M A L A E,म ल ा ई,1.000000,1.000000,1.000000,म ल ा ई,1.000000,1.000000,"म ल ा ई"
__NE__ G A R W A,ग र ् भ,0.000000,1.000000,0.857143,ग र ् व,0.500000,0.000000,"ग र ् व"
__NE__ U L T O,उ ल ् ट ो,1.000000,1.000000,1.000000,उ ल ् ट ो,1.000000,1.000000,"उ ल ् ट ो"
